Date,AAPL,AXP,BA,DIS,LUV,MMM,MSFT,PG,RCL
2018-01-22,44.25,98.31999969482422,338.0,111.0999984741211,64.88999938964844,247.3000030517578,91.61000061035156,91.88999938964844,128.6999969482422
2018-01-23,44.2599983215332,97.9800033569336,335.5899963378906,110.41000366210938,65.26000213623047,246.30999755859375,91.9000015258789,89.05000305175781,127.22000122070312
2018-01-24,43.55500030517578,99.30000305175781,334.69000244140625,110.5,62.209999084472656,247.69000244140625,91.81999969482422,88.30999755859375,132.50999450683594
2018-01-25,42.77750015258789,99.69000244140625,343.1099853515625,110.55000305175781,60.189998626708984,252.36000061035156,92.33000183105469,88.33999633789062,131.92999267578125
2018-01-26,42.877498626708984,99.62999725341797,343.2200012207031,112.19000244140625,60.81999969482422,258.6300048828125,94.05999755859375,87.7300033569336,134.97999572753906
2018-01-29,41.9900016784668,99.41000366210938,340.82000732421875,111.54000091552734,60.36000061035156,256.010009765625,93.91999816894531,86.86000061035156,134.77000427246094
2018-01-30,41.74250030517578,98.70999908447266,337.7099914550781,110.11000061035156,59.83000183105469,251.5399932861328,92.73999786376953,86.94999694824219,133.27999877929688
2018-01-31,41.85749816894531,99.4000015258789,354.3699951171875,108.66999816894531,60.79999923706055,250.5,95.01000213623047,86.33999633789062,133.5500030517578
2018-02-01,41.94499969482422,100.0,356.94000244140625,110.48999786376953,60.310001373291016,247.94000244140625,94.26000213623047,85.8499984741211,133.30999755859375
2018-02-02,40.125,96.68000030517578,348.9100036621094,108.69999694824219,58.709999084472656,245.1699981689453,91.77999877929688,84.25,129.66000366210938
2018-02-05,39.122501373291016,92.01000213623047,328.8800048828125,104.69999694824219,56.9900016784668,231.44000244140625,88.0,81.05999755859375,125.37000274658203
2018-02-06,40.75749969482422,94.18000030517578,340.9100036621094,106.16999816894531,58.13999938964844,233.6300048828125,91.33000183105469,82.37999725341797,127.66000366210938
2018-02-07,39.8849983215332,93.61000061035156,348.1199951171875,104.76000213623047,57.88999938964844,233.19000244140625,89.61000061035156,81.83999633789062,128.52000427246094
2018-02-08,38.787498474121094,88.33999633789062,329.6600036621094,101.3499984741211,55.630001068115234,222.88999938964844,85.01000213623047,80.22000122070312,122.44999694824219
2018-02-09,39.102500915527344,91.72000122070312,332.8299865722656,103.08999633789062,55.5,225.2100067138672,88.18000030517578,79.91999816894531,124.47000122070312
2018-02-12,40.6775016784668,94.69999694824219,343.79998779296875,103.38999938964844,56.810001373291016,229.19000244140625,89.12999725341797,81.33000183105469,129.27000427246094
2018-02-13,41.084999084472656,94.55999755859375,343.1600036621094,104.12000274658203,57.15999984741211,231.36000061035156,89.83000183105469,81.5,129.02999877929688
2018-02-14,41.842498779296875,96.2300033569336,344.8500061035156,104.5999984741211,57.72999954223633,232.0,90.80999755859375,80.68000030517578,130.52999877929688
2018-02-15,43.247501373291016,96.55999755859375,356.4599914550781,105.18000030517578,58.18000030517578,234.8699951171875,92.66000366210938,82.41000366210938,131.7100067138672
2018-02-16,43.10749816894531,96.79000091552734,355.0400085449219,106.52999877929688,58.27000045776367,236.6699981689453,92.0,82.5999984741211,131.67999267578125
2018-02-20,42.962501525878906,97.19000244140625,353.3500061035156,105.9800033569336,57.72999954223633,235.07000732421875,92.72000122070312,81.33999633789062,131.55999755859375
2018-02-21,42.76750183105469,97.5,352.3699951171875,105.05000305175781,58.029998779296875,232.17999267578125,91.48999786376953,80.23999786376953,130.5500030517578
2018-02-22,43.125,97.3499984741211,355.9200134277344,105.23999786376953,57.31999969482422,236.0,91.7300033569336,80.83999633789062,129.60000610351562
2018-02-23,43.875,98.80000305175781,356.6600036621094,107.25,57.9900016784668,237.02000427246094,94.05999755859375,81.05000305175781,130.1999969482422
2018-02-26,44.74250030517578,101.63999938964844,363.4800109863281,109.80999755859375,59.5,244.13999938964844,95.41999816894531,81.62999725341797,130.39999389648438
2018-02-27,44.59749984741211,99.58000183105469,364.6400146484375,104.87000274658203,58.47999954223633,240.77999877929688,94.19999694824219,80.54000091552734,128.86000061035156
2018-02-28,44.529998779296875,97.51000213623047,362.2099914550781,103.16000366210938,57.84000015258789,235.50999450683594,93.7699966430664,78.5199966430664,126.5999984741211
2018-03-01,43.75,95.13999938964844,349.69000244140625,102.56999969482422,58.0099983215332,231.33999633789062,92.8499984741211,78.69999694824219,123.97000122070312
2018-03-02,44.0525016784668,95.5999984741211,344.6700134277344,102.98999786376953,57.810001373291016,230.3699951171875,93.05000305175781,79.5,122.62999725341797
2018-03-05,44.20500183105469,96.66000366210938,352.75,103.41000366210938,58.380001068115234,232.80999755859375,93.63999938964844,80.29000091552734,121.36000061035156
2018-03-06,44.16749954223633,96.06999969482422,348.9200134277344,104.94000244140625,58.25,233.66000366210938,93.31999969482422,80.0199966430664,123.80000305175781
2018-03-07,43.75749969482422,95.63999938964844,347.0400085449219,103.58999633789062,57.56999969482422,235.57000732421875,93.86000061035156,79.16000366210938,123.52999877929688
2018-03-08,44.23500061035156,96.58999633789062,348.7300109863281,104.02999877929688,58.369998931884766,236.33999633789062,94.43000030517578,79.97000122070312,124.77999877929688
2018-03-09,44.994998931884766,99.05000305175781,354.5199890136719,104.7300033569336,59.70000076293945,241.35000610351562,96.54000091552734,80.29000091552734,126.62000274658203
2018-03-12,45.43000030517578,97.66999816894531,344.19000244140625,105.16999816894531,59.7599983215332,239.8000030517578,96.7699966430664,79.86000061035156,125.26000213623047
2018-03-13,44.99250030517578,95.37000274658203,338.6700134277344,103.7300033569336,60.33000183105469,237.57000732421875,94.41000366210938,79.72000122070312,125.94999694824219
