Date,AAPL,DIS,LUV,MSFT,PG,RCL
2016-01-04 00:00:00-05:00,24.11149787902832,97.1557846069336,39.89167404174805,49.130699157714844,63.81034851074219,88.89033508300781
2016-01-05 00:00:00-05:00,23.507286071777344,95.19342041015625,40.36702346801758,49.354835510253906,64.01390075683594,87.44115447998047
2016-01-06 00:00:00-05:00,23.04725456237793,94.6839599609375,40.7378044128418,48.45827865600586,63.39509963989258,86.32706451416016
2016-01-07 00:00:00-05:00,22.074548721313477,93.87259674072266,39.882164001464844,46.77278137207031,62.84141159057617,83.71852111816406
2016-01-08 00:00:00-05:00,22.19127655029297,93.63674926757812,40.12933349609375,46.91622543334961,61.85620880126953,83.12976837158203
2016-01-11 00:00:00-05:00,22.550600051879883,94.26884460449219,39.96773147583008,46.88933181762695,62.42617416381836,84.7782211303711
2016-01-12 00:00:00-05:00,22.87788200378418,95.72174835205078,40.5761833190918,47.319671630859375,62.295894622802734,85.15864562988281
2016-01-13 00:00:00-05:00,22.289690017700195,92.9102783203125,38.408565521240234,46.297607421875,61.75851058959961,80.64802551269531
2016-01-14 00:00:00-05:00,22.777177810668945,93.50464630126953,38.47511291503906,47.61552810668945,62.00278091430664,79.61544036865234
2016-01-15 00:00:00-05:00,22.23018455505371,88.58932495117188,37.80961608886719,45.71485900878906,61.05013656616211,75.10481262207031
2016-01-19 00:00:00-05:00,22.12261390686035,88.65535736083984,37.64801025390625,45.32933044433594,62.47502136230469,73.43824768066406
2016-01-20 00:00:00-05:00,22.15237045288086,87.30622100830078,37.362796783447266,45.535545349121094,62.280372619628906,74.67005920410156
2016-01-21 00:00:00-05:00,22.040220260620117,88.7025146484375,37.55293273925781,45.25761413574219,63.011348724365234,77.42353820800781
2016-01-22 00:00:00-05:00,23.2120418548584,91.41964721679688,37.07757568359375,46.8803596496582,63.537010192871094,77.67715454101562
2016-01-25 00:00:00-05:00,22.758874893188477,89.90070343017578,36.3170166015625,46.43210220336914,63.11811447143555,75.51240539550781
2016-01-26 00:00:00-05:00,22.884754180908203,90.82527160644531,36.4786376953125,46.77278137207031,64.7279052734375,76.55401611328125
2016-01-27 00:00:00-05:00,21.38107681274414,88.98556518554688,35.451873779296875,45.92106628417969,64.71969604492188,73.7461929321289
2016-01-28 00:00:00-05:00,21.534414291381836,88.24024200439453,34.40608215332031,46.67416000366211,65.55741882324219,70.94741821289062
2016-01-29 00:00:00-05:00,22.27824592590332,90.40072631835938,35.76559829711914,49.39069366455078,67.09329986572266,74.23528289794922
2016-02-01 00:00:00-05:00,22.06997299194336,89.76861572265625,36.42159652709961,49.05000686645508,66.62512969970703,76.55401611328125
2016-02-02 00:00:00-05:00,21.62367820739746,87.85343170166016,34.67230224609375,47.51691436767578,65.88594818115234,64.94230651855469
2016-02-03 00:00:00-05:00,22.051668167114258,89.75918579101562,35.02405548095703,46.763816833496094,66.60868835449219,66.87155151367188
2016-02-04 00:00:00-05:00,22.228853225708008,90.03277587890625,35.699058532714844,46.620361328125,66.28018951416016,66.64511108398438
2016-02-05 00:00:00-05:00,21.635156631469727,88.58932495117188,33.93073272705078,44.97072219848633,66.69085693359375,63.022117614746094
2016-02-08 00:00:00-05:00,21.862966537475586,86.90999603271484,33.00855255126953,44.298309326171875,67.85713195800781,60.04219055175781
2016-02-09 00:00:00-05:00,21.858366012573242,87.09867095947266,33.51243209838867,44.181758880615234,67.87352752685547,61.60914993286133
2016-02-10 00:00:00-05:00,21.69268226623535,83.8249282836914,33.78812026977539,44.56726837158203,67.03579711914062,62.85001754760742
2016-02-11 00:00:00-05:00,21.5615234375,85.20235443115234,33.597984313964844,44.54934310913086,65.62312316894531,61.563846588134766
2016-02-12 00:00:00-05:00,21.628257751464844,85.99484252929688,34.45362854003906,45.27554702758789,66.51836395263672,62.288455963134766
2016-02-16 00:00:00-05:00,22.23805809020996,87.65531158447266,35.25223159790039,46.13338851928711,66.91259765625,65.67595672607422
2016-02-17 00:00:00-05:00,22.57862091064453,90.09881591796875,36.61173629760742,47.33434295654297,67.7175064086914,66.3915023803711
2016-02-18 00:00:00-05:00,22.150615692138672,89.7874755859375,37.07757568359375,47.12666320800781,67.33145904541016,63.61019515991211
2016-02-19 00:00:00-05:00,22.09998321533203,89.63655090332031,37.37229537963867,46.79255294799805,67.17540740966797,64.50240325927734
2016-02-22 00:00:00-05:00,22.29327964782715,90.91961669921875,38.807861328125,47.54203414916992,67.45465850830078,67.11528015136719
2016-02-23 00:00:00-05:00,21.789337158203125,89.98560333251953,39.055057525634766,46.214656829833984,67.19183349609375,67.37931060791016
2016-02-24 00:00:00-05:00,22.11379051208496,90.03277587890625,39.32124710083008,46.37718963623047,66.98651123046875,66.26860046386719
2016-02-25 00:00:00-05:00,22.265670776367188,90.24034881591797,40.49061965942383,47.04539489746094,67.62713623046875,67.7980728149414
2016-02-26 00:00:00-05:00,22.300186157226562,89.91957092285156,40.09131622314453,46.3230094909668,66.60868835449219,68.45357513427734
2016-02-29 00:00:00-05:00,22.249563217163086,90.11768341064453,39.882164001464844,45.94375228881836,65.94344329833984,67.70703125
2016-03-01 00:00:00-05:00,23.133188247680664,92.1272201538086,40.47742462158203,47.478824615478516,66.7154769897461,69.68262481689453
2016-03-02 00:00:00-05:00,23.183815002441406,91.51399230957031,39.94407272338867,47.812931060791016,67.79961395263672,68.44446563720703
2016-03-03 00:00:00-05:00,23.356403350830078,93.23106384277344,40.02978515625,47.27113723754883,68.03778839111328,68.90878295898438
